# UC-Cross-Atlas cell-type label crosswalk
#
# Generated by scripts/build_celltype_crosswalk.py — rerun on any change
# to _broad_vocab.py / loader FINE_TO_BROAD maps / canonical_broad_DRAFT.md
# CL pin. Do not hand-edit; this file is regenerable.
#
# Tier 'fine' rows = the post-QC fine labels emitted into obs['cell_type_fine']
# by each loader. Tier 'broad' rows = the 15 _BROAD_VOCAB terms; one row per
# (atlas, broad) documenting CL anchor + whether the atlas populates that
# bucket.
#
# Atlases that live on HB only (TAURUS, HCA Gut, Pan-GI) get skeleton rows
# with native_label='<pending-HB>' — these MUST be replaced with the actual
# native label set after the first HB load.
#
# build_sha: ae0f9ee
# build_date: 2026-06-21
atlas	tier	native_label	native_col	post_qc_label	canonical_broad	canonical_fine	cl_anchor	source	notes
garrido	fine	Activated endothelium	annotation (GSE214695_cell_annotation.csv)	Activated endothelium	endothelium	endothelial	CL:0000115,CL:0002138	loader-extracted	
garrido	fine	B cell	annotation (GSE214695_cell_annotation.csv)	B cell	B cell		CL:0000236	loader-extracted	
garrido	fine	BEST4 OTOP2	annotation (GSE214695_cell_annotation.csv)	BEST4 OTOP2	colonocyte	absorptive_enterocyte	CL:1000347	loader-extracted	
garrido	fine	CD4 ANXA1	annotation (GSE214695_cell_annotation.csv)	CD4 ANXA1	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	CD4 naive	annotation (GSE214695_cell_annotation.csv)	CD4 naive	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	CD8 CTL	annotation (GSE214695_cell_annotation.csv)	CD8 CTL	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	CD8 CTL TRM	annotation (GSE214695_cell_annotation.csv)	CD8 CTL TRM	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	CD8 FGFBP2	annotation (GSE214695_cell_annotation.csv)	CD8 FGFBP2	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	Colonocyte 1	annotation (GSE214695_cell_annotation.csv)	Colonocyte 1	colonocyte	absorptive_enterocyte	CL:1000347	loader-extracted	
garrido	fine	Colonocyte 2	annotation (GSE214695_cell_annotation.csv)	Colonocyte 2	colonocyte	absorptive_enterocyte	CL:1000347	loader-extracted	
garrido	fine	Cycling T cells	annotation (GSE214695_cell_annotation.csv)	Cycling T cells	T cell		CL:0000084	loader-extracted	
garrido	fine	Cycling TA	annotation (GSE214695_cell_annotation.csv)	Cycling TA	epithelial progenitor	immature_enterocyte_ta	CL:0002250,CL:0009010	loader-extracted	
garrido	fine	Cycling myeloid	annotation (GSE214695_cell_annotation.csv)	Cycling myeloid	monocyte/macrophage		CL:0000576,CL:0000235	loader-extracted	
garrido	fine	DCs CCL22	annotation (GSE214695_cell_annotation.csv)	DCs CCL22	dendritic cell		CL:0000451	loader-extracted	
garrido	fine	DCs CD1c	annotation (GSE214695_cell_annotation.csv)	DCs CD1c	dendritic cell		CL:0000451	loader-extracted	
garrido	fine	DN EOMES	annotation (GSE214695_cell_annotation.csv)	DN EOMES	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	DN TNF	annotation (GSE214695_cell_annotation.csv)	DN TNF	T cell	t_cell_broad	CL:0000084	loader-extracted	
garrido	fine	Endothelium	annotation (GSE214695_cell_annotation.csv)	Endothelium	endothelium	endothelial	CL:0000115,CL:0002138	loader-extracted	
garrido	fine	Enteroendocrine	annotation (GSE214695_cell_annotation.csv)	Enteroendocrine	enteroendocrine/tuft	enteroendocrine	CL:0000164,CL:0002204	loader-extracted	
garrido	fine	Eosinophils	annotation (GSE214695_cell_annotation.csv)	Eosinophils	granulocyte		CL:0000094,CL:0000775,CL:0000771	loader-extracted	
garrido	fine	FRCs	annotation (GSE214695_cell_annotation.csv)	FRCs	fibroblast		CL:0000057,CL:0000669	loader-extracted	
